前提文	仮説文	正解ラベル
Nivolumab休薬により腫瘍増悪した。	Nivolumabを休薬した。	entailment
Nivolumab投与中止した後、PSL投与開始。	Nivolumab投与した後、PSL投与開始。	neutral
採血で肝障害を認め消化器内科紹介となった。	採血で肝障害を認め消化器内科に紹介となった。	entailment
採血で肝障害を認め消化器内科紹介となった。	採血で肝障害を認め消化器内科から紹介となった。	neutral
当院耳鼻咽喉科で喉頭癌に対しNivolumab投与した。	当院耳鼻咽喉科で喉頭癌に対しNivolumabを投与した。	entailment
当院耳鼻咽喉科で喉頭癌に対しNivolumab投与した。	当院耳鼻咽喉科で喉頭癌に対しニボルマブを投与した。	entailment
肺転移を伴う外陰部悪性黒色腫に対して、当院皮膚科で抗PD1抗体のニボルマブが開始された。	肺に転移した外陰部悪性黒色腫に対して、当院皮膚科で抗PD1抗体のニボルマブが開始された。	entailment
肺転移を伴う外陰部悪性黒色腫に対して、当院皮膚科で抗PD1抗体のニボルマブが開始された。	肝転移を伴う外陰部悪性黒色腫に対して、当院皮膚科で抗PD1抗体のニボルマブが開始された。	neutral
外陰部悪性黒色腫に対して、当院皮膚科で抗PD1抗体のニボルマブが開始された。	外陰部の悪性黒色腫に対して、当院皮膚科で抗PD1抗体のニボルマブが開始された。	entailment
外陰部悪性黒色腫に対して、当院皮膚科で抗PD1抗体のニボルマブが開始された。	悪性黒色腫に対して、当院皮膚科で抗PD1抗体のニボルマブが開始された。	entailment
肺転移を伴う外陰部悪性黒色腫に対して、当院皮膚科で抗PD1抗体のニボルマブが開始された。	肺転移を伴う外陰部悪性黒色腫に対して、当院の皮膚科で抗PD1抗体のニボルマブが開始された。	entailment
肺転移を伴う外陰部悪性黒色腫に対して、当院皮膚科で抗PD1抗体のニボルマブが開始された。	肺転移を伴う外陰部悪性黒色腫に対して、皮膚科で抗PD1抗体のニボルマブが開始された。	entailment
肺転移巣は縮小傾向となった。	肺原発巣は縮小傾向となった。	neutral
肺転移巣は縮小傾向となった。	転移巣は縮小傾向となった。	entailment
肺転移巣は縮小傾向となった。	肺転移巣は縮小する傾向となった。	entailment
肺転移巣は縮小傾向となった。	肺転移巣は縮小した。	neutral
肺転移巣は縮小傾向となった。	肺転移巣は増大した。	contradiction
外陰部原発巣を切除した。	肺原発巣を切除した。	neutral
外陰部原発巣を切除した。	外陰部転移巣を切除した。	neutral
外陰部原発巣を切除した。	原発巣を切除した。	entailment
外陰部に転移巣出現、肺転移巣も増大傾向となった。	外陰部に転移巣が出現し、肺転移巣も増大傾向となった。	entailment
外陰部に転移巣出現、肺転移巣も増大傾向となった。	外陰部に原発巣が出現し、肺転移巣も増大傾向となった。	contradiction
外陰部に転移巣出現、肺転移巣も増大傾向となった。	外陰部転移巣も増大傾向となった。	neutral
外陰部に転移巣出現、肺転移巣も増大傾向となった。	転移巣が増大傾向となった。	entailment
外陰部に転移巣出現、肺転移巣も増大傾向となった。	肺転移巣が縮小する傾向となった。	contradiction
外陰部に転移巣出現、肺転移巣も増大傾向となった。	肺転移巣が増大した。	neutral
炎症反応上昇を伴う肝障害の出現を認め、当科コンサルトとなった。	炎症反応が上昇した。	entailment
炎症反応上昇を伴う肝障害の出現を認め、当科コンサルトとなった。	炎症反応が降下した。	contradiction
炎症反応上昇を伴う肝障害の出現を認め、当科コンサルトとなった。	炎症反応上昇を伴う腎障害の出現を認め、当科コンサルトとなった。	neutral
炎症反応上昇を伴う肝障害の出現を認め、当科コンサルトとなった。	炎症反応上昇を伴う肝障害の出現を認め、当科にコンサルトとなった。	entailment
炎症反応上昇を伴う肝障害の出現を認め、当科コンサルトとなった。	炎症反応上昇を伴う肝障害の出現を認め、当科にコンサルトした。	entailment
炎症反応上昇を伴う肝障害の出現を認め、当科コンサルトとなった。	炎症反応上昇を伴う肝障害の出現を認め、当科がコンサルトした。	neutral
肺転移を伴う外陰部悪性黒色腫に対して、当院皮膚科で抗PD1抗体のニボルマブが開始された。	肺転移を伴う外陰部悪性黒色腫に対して、当院で抗PD1抗体のニボルマブが開始された。	entailment
外陰部に転移巣出現、肺転移巣も増大傾向となった。	肺転移巣も増大する傾向となった。	entailment
悪性腫瘍に対して免疫チェックポイント阻害薬が適応となった。	腫瘍に対して免疫チェックポイント阻害薬が適応となった。	entailment
悪性腫瘍に対して免疫チェックポイント阻害薬が適応となった。	良性腫瘍に対して免疫チェックポイント阻害薬が適応となった。	neutral
ICI使用により著名な胆汁うっ滞性肝不全となった。	ICI使用により著名な胆汁うっ滞性の肝不全となった。	entailment
ICI使用により著名な胆汁うっ滞性肝不全となった。	ICI使用により著名な肝不全となった。	entailment
腎細胞癌が胸膜転移再発となった。	肝細胞癌が胸膜転移再発となった。	neutral
腎細胞癌が胸膜転移再発となった。	腎細胞癌が胸膜に転移再発した。	entailment
腎細胞癌が胸膜転移再発となった。	腎細胞癌が胸膜に転移した。	entailment
腎細胞癌が胸膜転移再発となった。	腎細胞癌が再発した。	entailment
パゾパニブ投与開始したところ、肝障害出現を認めた。	パゾパニブを投与開始したところ、肝障害出現を認めた。	entailment
パゾパニブ投与開始したところ、肝障害出現を認めた。	パゾパニブ投与を開始したところ、肝障害出現を認めた。	entailment
パゾパニブ投与開始したところ、肝障害出現を認めた。	パゾパニブの投与を開始したところ、肝障害出現を認めた。	entailment
パゾパニブ投与開始したところ、肝障害出現を認めた。	パゾパニブを投与したところ、肝障害出現を認めた。	entailment
パゾパニブ投与開始したところ、肝障害出現を認めた。	パゾパニブ投与終了したところ、肝障害出現を認めた。	contradiction
パゾパニブ投与開始したところ、肝障害出現を認めた。	パゾパニブ投与開始したところ、肝障害が出現した。	entailment
パゾパニブ投与開始したところ、肝障害出現を認めた。	パゾパニブ投与開始したところ、腎障害が出現した。	neutral
パゾパニブ投与開始したところ、肝障害出現を認めた。	パゾパニブ投与開始したところ、肝障害が消滅した。	contradiction
パゾパニブ中止したが改善なく、黄疸増悪を認めたため、当科転院となった。	パゾパニブを中止したが改善なく、黄疸増悪を認めたため、当科転院となった。	entailment
パゾパニブ中止したが改善なく、黄疸増悪を認めたため、当科転院となった。	パゾパニブを再開したが改善なく、黄疸増悪を認めたため、当科転院となった。	contradiction
パゾパニブ中止したが改善なく、黄疸増悪を認めたため、当科転院となった。	黄疸が増悪したため、当科転院となった。	entailment
パゾパニブ中止したが改善なく、黄疸増悪を認めたため、当科転院となった。	黄疸が改善した。	contradiction
パゾパニブ中止したが改善なく、黄疸増悪を認めたため、当科転院となった。	パゾパニブ中止したが改善なく、黄疸増悪を認めたため、当科に転院となった。	entailment
パゾパニブ中止したが改善なく、黄疸増悪を認めたため、当科転院となった。	パゾパニブ中止したが改善なく、黄疸増悪を認めたため、当科に転院した。	entailment
パゾパニブ中止したが改善なく、黄疸増悪を認めたため、当科転院となった。	パゾパニブ中止したが改善なく、黄疸増悪を認めたため、当科から転院した。	contradiction
腎細胞癌が胸膜転移再発となった。	腎細胞癌が胸膜に転移して再発した。	entailment
腎細胞癌が胸膜転移再発となった。	腎細胞癌が胸膜で再発した。	entailment
パゾパニブによる薬剤性肝障害を疑い、投与中止し経過観察する方針とした。	パゾパニブによるアルコール性肝障害を疑い、投与中止し経過観察する方針とした。	contradiction
パゾパニブによる薬剤性肝障害を疑い、投与中止し経過観察する方針とした。	パゾパニブによる薬剤性肝障害を疑い、投与し経過観察する方針とした。	contradiction
パゾパニブによる薬剤性肝障害を疑い、投与中止し経過観察する方針とした。	パゾパニブによる薬剤性肝障害を疑い、投与開始し経過観察する方針とした。	contradiction
子宮平滑筋肉腫の肺脾臓転移に対し、当院産婦人科へ通院となった。	平滑筋肉腫の肺脾臓転移に対し、当院産婦人科へ通院となった。	entailment
子宮平滑筋肉腫の肺脾臓転移に対し、当院産婦人科へ通院となった。	胃平滑筋肉腫の肺脾臓転移に対し、当院産婦人科へ通院となった。	neutral
子宮平滑筋肉腫の肺脾臓転移に対し、当院産婦人科へ通院となった。	子宮平滑筋肉腫の肺脾臓転移に対し、当院の産婦人科へ通院となった。	entailment
子宮平滑筋肉腫の肺脾臓転移に対し、当院産婦人科へ通院となった。	子宮平滑筋肉腫の肺脾臓転移に対し、産婦人科へ通院となった。	entailment
子宮平滑筋肉腫の肺脾臓転移に対し、当院産婦人科へ通院となった。	子宮平滑筋肉腫の肺脾臓転移に対し、他院産婦人科へ通院となった。	contradiction
パゾパニブ内服開始した。	パゾパニブを内服開始した。	entailment
パゾパニブ内服開始した。	パゾパニブ内服を開始した。	entailment
パゾパニブ内服開始した。	パゾパニブを内服した。	entailment
パゾパニブ内服開始した。	パゾパニブ内服終了した。	contradiction
パゾパニブ内服開始した。	パゾパニブを投与した。	contradiction
肝酵素上昇を認めたため、当科コンサルトとなった。	肝酵素が上昇したため、当科コンサルトとなった。	entailment
肝酵素上昇を認めたため、当科コンサルトとなった。	肝酵素が低下したため、当科コンサルトとなった。	contradiction
肝酵素上昇を認めたため、当科コンサルトとなった。	肝酵素上昇を認めたため、当科にコンサルトとなった。	entailment
肝酵素上昇を認めたため、当科コンサルトとなった。	肝酵素上昇を認めたため、当科にコンサルトした。	entailment
肝酵素上昇を認めたため、当科コンサルトとなった。	肝酵素上昇を認めたため、当科がコンサルトした。	contradiction
肝機能増悪傾向となったため、原因精査するために肝生検を施行した。	肝機能が増悪したため、原因精査するために肝生検を施行した。	neutral
肝機能増悪傾向となったため、原因精査するために肝生検を施行した。	肝機能改善傾向となったため、原因精査するために肝生検を施行した。	contradiction
肝機能増悪傾向となったため、原因精査するために肝生検を施行した。	肝機能が改善したため、原因精査するために肝生検を施行した。	contradiction
肝機能増悪傾向となったため、原因精査するために肝生検を施行した。	肝機能増悪傾向となったため、原因精査するために腎生検を施行した。	neutral
肝胆道系酵素の改善傾向が得られた。	肝胆道系酵素が改善する傾向が得られた。	entailment
肝胆道系酵素の改善傾向が得られた。	肝胆道系酵素の改善する傾向が得られた。	entailment
肝胆道系酵素の改善傾向が得られた。	肝胆道系酵素が増悪する傾向が得られた。	contradiction
肝胆道系酵素の改善傾向が得られた。	肝胆道系酵素が改善した。	neutral
肝機能増悪傾向となったため、原因精査するために肝生検を施行した。	肝機能が増悪する傾向となったため、原因精査するために肝生検を施行した。	entailment
肝機能増悪傾向となったため、原因精査するために肝生検を施行した。	肝機能増悪傾向となったため、原因を精査するために肝生検を施行した。	entailment
肝機能増悪傾向となったため、原因精査するために肝生検を施行した。	肝機能増悪傾向となったため、原因精査するために生検を施行した。	entailment
パゾパニブによる薬剤性肝障害を疑い、投与中止し経過観察する方針とした。	パゾパニブによる薬剤性の肝障害を疑い、投与中止し経過観察する方針とした。	entailment
パゾパニブによる薬剤性肝障害を疑い、投与中止し経過観察する方針とした。	パゾパニブによる肝障害を疑い、投与中止し経過観察する方針とした。	entailment
パゾパニブによる薬剤性肝障害を疑い、投与中止し経過観察する方針とした。	パゾパニブによる薬剤性肝障害を疑い、投与を中止し経過観察する方針とした。	entailment
パゾパニブによる薬剤性肝障害を疑い、投与中止し経過観察する方針とした。	パゾパニブによる薬剤性肝障害を疑い、投与中止し経過を観察する方針とした。	entailment
肝生検で自己免疫性肝炎類似像を呈した。	生検で自己免疫性肝炎類似像を呈した。	entailment
肝生検で自己免疫性肝炎類似像を呈した。	肝生検で自己免疫性肝炎を呈した。	neutral
pembrolizumabを投与開始した。	pembrolizumabを投与した。	entailment
pembrolizumabを投与開始した。	pembrolizumab投与を開始した。	entailment
pembrolizumabを投与開始した。	pembrolizumabを投与終了した。	contradiction
メチルプレドニゾロンを投与したところ、改善傾向をしめした。	メチルプレドニゾロンを投与したところ、改善する傾向をしめした。	entailment
メチルプレドニゾロンを投与したところ、改善傾向をしめした。	メチルプレドニゾロンを投与したところ、改善した。	neutral
メチルプレドニゾロンを投与したところ、改善傾向をしめした。	メチルプレドニゾロンを投与したところ、増悪傾向をしめした。	contradiction
薬剤性肝障害は、薬剤中止により肝障害が速やかに回復することが多い。	薬剤性の肝障害は、薬剤中止により肝障害が速やかに回復することが多い。	entailment
薬剤性肝障害は、薬剤中止により肝障害が速やかに回復することが多い。	ウイルス性肝障害は、薬剤中止により肝障害が速やかに回復することが多い。	neutral
薬剤性肝障害は、薬剤中止により肝障害が速やかに回復することが多い。	薬剤性肝障害は、薬剤を中止することにより肝障害が速やかに回復することが多い。	entailment
薬剤性肝障害は、薬剤中止により肝障害が速やかに回復することが多い。	薬剤性肝障害は、薬剤の中止により肝障害が速やかに回復することが多い。	entailment
薬剤性肝障害は、薬剤中止により肝障害が速やかに回復することが多い。	薬剤性肝障害は、薬剤により肝障害が速やかに回復することが多い。	contradiction
薬剤を中止した後、肝酵素上昇となった。	薬剤を中止した後、肝酵素が上昇した。	entailment
薬剤を中止した後、肝酵素上昇となった。	薬剤を中止した後、肝酵素が低下した。	contradiction
当院皮膚科を受診し、水疱性類天疱瘡と診断された。	当院の皮膚科を受診し、水疱性類天疱瘡と診断された。	entailment
当院皮膚科を受診し、水疱性類天疱瘡と診断された。	皮膚科を受診し、水疱性類天疱瘡と診断された。	entailment
当院皮膚科を受診し、水疱性類天疱瘡と診断された。	他院の皮膚科を受診し、水疱性類天疱瘡と診断された。	contradiction
当院皮膚科を受診し、水疱性類天疱瘡と診断された。	当院皮膚科を受診し、水疱性の類天疱瘡と診断された。	entailment
当院皮膚科を受診し、水疱性類天疱瘡と診断された。	当院皮膚科を受診し、類天疱瘡と診断された。	entailment
当院皮膚科を受診し、水疱性類天疱瘡と診断された。	当院皮膚科を受診し、粘膜類天疱瘡と診断された。	contradiction
免疫調整薬を併用し、PSL漸減の上で管理されていた。	PSLを漸減した。	entailment
免疫調整薬を併用し、PSL漸減の上で管理されていた。	免疫調整薬を併用し、PSL漸増の上で管理されていた。	contradiction
免疫調整薬を併用し、PSL漸減の上で管理されていた。	免疫抑制薬を併用していた。	neutral
CTで急性肝炎を疑う所見を指摘されたため、当科入院となった。	CTで慢性肝炎を疑う所見を指摘されたため、当科入院となった。	contradiction
CTで急性肝炎を疑う所見を指摘されたため、当科入院となった。	CTでウイルス性肝炎を疑う所見を指摘されたため、当科入院となった。	neutral
CTで急性肝炎を疑う所見を指摘されたため、当科入院となった。	CTで急性肝炎を疑う所見を指摘されたため、当科に入院となった。	entailment
CTで急性肝炎を疑う所見を指摘されたため、当科入院となった。	CTで急性肝炎を疑う所見を指摘されたため、当科に入院した。	entailment
CTで急性肝炎を疑う所見を指摘されたため、当科入院となった。	CTで急性肝炎を疑う所見を指摘されたため、当科退院となった。	contradiction
CMZで加療開始された。	CMZで加療が開始された。	entailment
CMZで加療開始された。	CMZで加療された。	entailment
CMZで加療開始された。	CMZで加療を開始した。	entailment
CMZで加療開始された。	CMZで加療終了した。	contradiction
肝機能改善傾向となるも、緩徐に好酸球増加となった。	肝機能が改善する傾向となるも、緩徐に好酸球増加となった。	entailment
肝機能改善傾向となるも、緩徐に好酸球増加となった。	肝機能が改善した。	neutral
肝機能は改善傾向となったが、好酸球増加となった。	肝機能は改善傾向となり、好酸球が減少した。	contradiction
徐々に解熱傾向となった。	徐々に解熱する傾向となった。	entailment
血球減少、黄疸の進行を認め、非昏睡型急性肺不全と診断された。	血球が減少し、黄疸の進行を認め、非昏睡型急性肺不全と診断された。	entailment
血球減少、黄疸の進行を認め、非昏睡型急性肺不全と診断された。	血球が減少し、黄疸の進行を認め、非昏睡型急性肺不全と診断された。	entailment
血球減少、黄疸の進行を認め、非昏睡型急性肺不全と診断された。	血球が増加し、黄疸の進行を認め、非昏睡型急性肺不全と診断された。	contradiction
血球減少、黄疸の進行を認め、非昏睡型急性肺不全と診断された。	血球減少、黄疸の進行を認め、肺不全と診断された。	entailment
血球減少、黄疸の進行を認め、非昏睡型急性肺不全と診断された。	血球減少、黄疸の進行を認め、急性肺不全と診断された。	entailment
血球減少、黄疸の進行を認め、非昏睡型急性肺不全と診断された。	血球減少、黄疸の進行を認め、昏睡型急性肺不全と診断された。	contradiction
PSLを開始したところ速やかに解熱、肝機能は改善した。	PSLを開始したところ速やかに解熱、膵機能は改善した。	neutral
好中球減少が遷延し、骨髄生検も行われた。	好中球が減少した。	entailment
好中球減少が遷延し、骨髄生検も行われた。	好中球が増加した。	contradiction
好中球減少が遷延し、骨髄生検も行われた。	好中球減少が遷延し、肝生検も行われた。	neutral
PSL漸減中止された。	PSL漸減を中止された。	entailment
PSL漸減中止された。	PSLを漸減することを中止された。	entailment
PSL漸減中止された。	PSLを漸減された。	neutral
肝機能は改善傾向となったが、好酸球増加となった。	肝機能は改善傾向となったが、好酸球が増加した。	entailment
徐々に解熱傾向となった。	徐々に解熱した。	entailment
肝移植することなく、外来通院が可能となった。	肝を移植した。	contradiction
階段昇降が困難となり、立位保持が困難となったため、当院搬送となった。	階段昇降が困難となり、立位保持が困難となったため、当院から搬送された。	contradiction
階段昇降が困難となり、立位保持が困難となったため、当院搬送となった。	立位を保持することが困難となった。	entailment
顕性黄疸と下腿浮腫が出現していた。	潜在性黄疸と下腿浮腫が出現していた。	contradiction
顕性黄疸と下腿浮腫が出現していた。	黄疸と下腿浮腫が出現していた。	entailment
顕性黄疸と下腿浮腫が出現していた。	顕性黄疸と浮腫が出現していた。	entailment
顕性黄疸と下腿浮腫が出現していた。	顕性黄疸と下肢浮腫が出現していた。	neutral
顕性黄疸と下腿浮腫が出現していたが、肝性脳症ではなかった。	顕性黄疸と下腿浮腫が出現していたが、脳症ではなかった。	neutral
顕性黄疸と下腿浮腫が出現していたが、肝性脳症ではなかった。	顕性黄疸と下腿浮腫が出現していたが、肝硬変ではなかった。	neutral
肝移植することなく、外来通院が可能となった。	肝を移植することなく、外来通院が可能となった。	entailment
肝移植することなく、外来通院が可能となった。	肝に移植することなく、外来通院が可能となった。	contradiction
階段昇降が困難となり、立位保持が困難となったため、当院搬送となった。	階段を昇降することが困難となった。	entailment
階段昇降が困難となり、立位保持が困難となったため、当院搬送となった。	階段昇降が困難となり、立位保持が困難となったため、当院に搬送された。	entailment
階段昇降が困難となり、立位保持が困難となったため、当院搬送となった。	階段昇降が困難となり、立位保持が困難となったため、当院に搬送となった。	entailment
階段昇降が困難となり、立位保持が困難となったため、当院搬送となった。	階段昇降が困難となり、立位保持が困難となったため、搬送された。	entailment
肝移植することなく、外来通院が可能となった。	外来に通院することが可能となった。	entailment
肝移植することなく、外来通院が可能となった。	外来に通院が可能となった。	entailment
階段昇降が困難となり、立位保持が困難となったため、当院搬送となった。	階段を昇降した。	neutral
階段昇降が困難となり、立位保持が困難となったため、当院搬送となった。	立位を保持した。	neutral
肝移植することなく、外来通院が可能となった。	外来に通院した。	neutral
ラクチトールを中止した後もアンモニア上昇を認めなかった。	ラクチトールを中止した後もアンモニアが上昇しなかった。	entailment
ラクチトールを中止した後もアンモニア上昇を認めなかった。	ラクチトールを中止した後もアンモニアが上昇した。	contradiction
当院循環器内科転院となった。	当院の循環器内科に転院となった。	entailment
当院循環器内科転院となった。	循環器内科に転院となった。	entailment
当院循環器内科転院となった。	当院の循環器内科に転院した。	entailment
当院循環器内科転院となった。	他院の循環器内科に転院した。	contradiction
当院循環器内科転院となった。	当院の循環器内科から転院した。	contradiction
当院循環器内科転院となった。	循環器内科に通院となった。	neutral
利尿剤調整で心不全は改善傾向となった。	利尿剤調整で心不全は改善した。	neutral
精査を目的に当科紹介、加療を目的に転科となった。	精査を目的に当科に紹介となった。	entailment
精査を目的に当科紹介、加療を目的に転科となった。	精査を目的に当科から紹介となった。	contradiction
肝性脳症は非代償性肝硬変の表現型である。	急性脳症は非代償性肝硬変の表現型である。	contradiction
肝性脳症は非代償性肝硬変の表現型である。	肝性脳症は代償性肝硬変の表現型である。	contradiction
肝性脳症は非代償性肝硬変の表現型である。	肝性脳症は肝硬変の表現型である。	entailment
利尿剤調整で心不全は改善傾向となった。	利尿剤を調整することで心不全は改善傾向となった。	entailment
利尿剤調整で心不全は改善傾向となった。	利尿剤調整で心不全は改善する傾向となった。	entailment
肝性脳症は非代償性肝硬変の表現型である。	脳症は非代償性肝硬変の表現型である。	neutral
EO使用量が多いため、腎障害予防のためにハプトグロブリンが必要である。	EOを使用する量が多いため、腎障害予防のためにハプトグロブリンが必要である。	entailment
EO使用量が多いため、腎障害予防のためにハプトグロブリンが必要である。	EO使用量が多いため、腎障害を予防するためにハプトグロブリンが必要である。	entailment
EO使用量が多いため、腎障害予防のためにハプトグロブリンが必要である。	EO使用量が多いため、腎不全を予防するためにハプトグロブリンが必要である。	neutral
胃静脈瘤ならびに肝機能が改善した。	静脈瘤ならびに肝機能が改善した。	entailment
胃静脈瘤ならびに肝機能が改善した。	食道静脈瘤ならびに肝機能が改善した。	neutral
胃静脈瘤ならびに肝機能が改善した。	胃静脈瘤ならびに肝の機能が改善した。	entailment
胃静脈瘤ならびに肝機能が改善した。	胃静脈瘤ならびに消化機能が改善した。	neutral
巨大脾腫ならびに血小板減少を認めた。	巨大な脾腫ならびに血小板減少を認めた。	entailment
巨大脾腫ならびに血小板減少を認めた。	脾腫ならびに血小板減少を認めた。	entailment
巨大脾腫ならびに血小板減少を認めた。	血小板が減少した。	entailment
巨大脾腫ならびに血小板減少を認めた。	巨大脾腫ならびに血小板の減少を認めた。	entailment
食道胃静脈瘤増悪が認められなかった。	食道胃静脈瘤が増悪した。	contradiction
食道胃静脈瘤増悪が認められなかった。	食道静脈瘤と胃静脈瘤が増悪した。	contradiction
肝硬変患者にBRTOを施行し、肝機能が劇的に改善した。	患者にBRTOを施行し、肝機能が劇的に改善した。	entailment
肝硬変患者にBRTOを施行し、肝機能が劇的に改善した。	肝硬変の患者にBRTOを施行し、肝機能が劇的に改善した。	entailment
肝硬変患者にBRTOを施行し、肝機能が劇的に改善した。	肝炎の患者にBRTOを施行し、肝機能が劇的に改善した。	neutral
肝硬変患者にBRTOを施行し、肝機能が劇的に改善した。	肝硬変患者にBRTOを施行し、肝の機能が劇的に改善した。	entailment
非代償性肝硬変患者にBRTOを施行した。	非代償性肝硬変の患者にBRTOを施行した。	entailment
非代償性肝硬変患者にBRTOを施行した。	代償性肝硬変患者にBRTOを施行した。	neutral
非代償性肝硬変患者にBRTOを施行した。	肝硬変患者にBRTOを施行した。	entailment
非代償性肝硬変患者にBRTOを施行した。	患者にBRTOを施行した。	entailment
C型非代償性肝硬変に対して、経過観察されていた。	C型の非代償性肝硬変に対して、経過観察されていた。	entailment
C型非代償性肝硬変に対して、経過観察されていた。	C型代償性肝硬変に対して、経過観察されていた。	neutral
C型非代償性肝硬変に対して、経過観察されていた。	非代償性肝硬変に対して、経過観察されていた。	entailment
C型非代償性肝硬変に対して、経過観察されていた。	C型肝硬変に対して、経過観察されていた。	entailment
C型非代償性肝硬変に対して、経過観察されていた。	肝硬変に対して、経過観察されていた。	entailment
C型非代償性肝硬変に対して、経過観察されていた。	代償性肝硬変に対して、経過観察されていた。	neutral
食道胃静脈瘤増悪が認められなかった。	胃静脈瘤増悪が認められなかった。	entailment
食道胃静脈瘤増悪が認められなかった。	食道静脈瘤増悪が認められなかった。	entailment
食道胃静脈瘤増悪が認められなかった。	食道静脈瘤が増悪しなかった。	entailment
食道胃静脈瘤増悪が認められなかった。	胃静脈瘤が増悪しなかった。	entailment
食道胃静脈瘤増悪が認められなかった。	食道と胃の静脈瘤が増悪しなかった。	entailment
食道胃静脈瘤増悪が認められなかった。	食道静脈瘤と胃静脈瘤が増悪しなかった。	entailment
門脈-大循環シャントの発達は、シャント型肝性脳症や肝機能低下の原因となる。	門脈-大循環シャントの発達は、肝性脳症や肝機能低下の原因となる。	entailment
門脈-大循環シャントの発達は、シャント型肝性脳症や肝機能低下の原因となる。	門脈-大循環シャントの発達は、シャント型の肝性脳症や肝機能低下の原因となる。	entailment
門脈-大循環シャントの発達は、シャント型肝性脳症や肝機能低下の原因となる。	門脈-大循環シャントの発達は、牛海綿状脳症や肝機能低下の原因となる。	contradiction
門脈-大循環シャントの発達は、シャント型肝性脳症や肝機能低下の原因となる。	門脈-大循環シャントの発達は、シャント型肝性脳症や肝機能の低下の原因となる。	entailment
門脈-大循環シャントの発達は、シャント型肝性脳症や肝機能低下の原因となる。	門脈-大循環シャントの発達は、シャント型肝性脳症や肝機能上昇の原因となる。	contradiction
肝機能改善効果がみられる。	肝機能が改善する効果がみられる。	entailment
肝機能改善効果がみられる。	肝機能が改善した。	entailment
肝機能改善効果がみられる。	肝機能が悪化した。	contradiction
門脈-大循環シャントの発達は、シャント型肝性脳症や肝機能低下の原因となる。	門脈-大循環シャントの発達は、シャント型肝性脳症や肝機能が低下する原因となる。	entailment
手術による横隔膜修復を検討している。	横隔膜を修復した。	contradiction
手術による横隔膜修復を検討している。	手術による横隔膜の修復を検討している。	entailment
症状出現から診断まで長い時間が経過した。	症状が出現してから診断まで長い時間が経過した。	entailment
意識レベル低下となった。	意識レベルが低下した。	entailment
意識レベル低下となった。	意識レベルが回復した。	contradiction
症状出現から診断まで長い時間が経過した。	症状が出現した。	entailment
症状出現から診断まで長い時間が経過した。	症状が消滅した。	contradiction
血液検査所見および画像所見より原発性胆汁性胆管炎を疑い、肝生検を施行した。	血液検査および画像による所見で原発性胆汁性胆管炎を疑った。	entailment
血液検査所見および画像所見で原発性胆汁性胆管炎を疑い、肝生検を施行した。	所見で原発性胆汁性胆管炎を疑い、肝生検を施行した。	entailment
血液検査所見および画像所見より原発性胆汁性胆管炎を疑い、肝生検を施行した。	血液検査所見のみで原発性胆汁性胆管炎を疑った。	contradiction
血液検査所見および画像所見より原発性胆汁性胆管炎を疑い、肝生検を施行した。	画像所見のみで原発性胆汁性胆管炎を疑った。	contradiction
血液検査所見および画像所見より原発性胆汁性胆管炎を疑い、肝生検を施行した。	血液検査所見および画像所見より胆管炎を疑い、肝生検を施行した。	entailment
血液検査所見および画像所見より原発性胆汁性胆管炎を疑い、肝生検を施行した。	血液検査所見および画像所見より胆汁性胆管炎を疑い、肝生検を施行した。	entailment
血液検査所見および画像所見より原発性胆汁性胆管炎を疑い、肝生検を施行した。	血液検査所見および画像所見よりPBCを疑い、肝生検を施行した。	entailment
血液検査所見および画像所見より原発性胆汁性胆管炎を疑い、肝生検を施行した。	血液検査所見および画像所見より原発性の胆管炎を疑い、肝生検を施行した。	entailment
血液検査所見および画像所見より原発性胆汁性胆管炎を疑い、肝生検を施行した。	血液検査所見および画像所見より原発性胆汁性胆管炎を疑い、生検を施行した。	entailment
血液検査所見および画像所見より原発性胆汁性胆管炎を疑い、肝生検を施行した。	血液検査所見および画像所見より原発性胆汁性胆管炎を疑い、胆道生検を施行した。	neutral
慢性非化膿性破壊性胆管炎である。	破壊性胆管炎である。	entailment
慢性非化膿性破壊性胆管炎である。	慢性胆管炎である。	entailment
慢性非化膿性破壊性胆管炎である。	非化膿性胆管炎である。	entailment
慢性非化膿性破壊性胆管炎である。	慢性化膿性破壊性胆管炎である。	contradiction
慢性非化膿性破壊性胆管炎である。	化膿性胆管炎である。	neutral
慢性非化膿性破壊性胆管炎である。	胆管炎ではない。	contradiction
症候性原発性胆汁性胆管炎と診断した。	胆管炎と診断した。	entailment
症候性原発性胆汁性胆管炎と診断した。	胆汁性胆管炎と診断した。	entailment
症候性原発性胆汁性胆管炎と診断した。	原発性胆汁性胆管炎と診断した。	entailment
症候性原発性胆汁性胆管炎と診断した。	無症候性原発性胆汁性胆管炎と診断した。	contradiction
症候性原発性胆汁性胆管炎と診断した。	症候性の胆管炎と診断した。	entailment
症候性原発性胆汁性胆管炎と診断した。	原発性の胆管炎と診断した。	entailment
肝障害が持続するため、当科紹介された。	肝不全が持続するため、当科紹介された。	neutral
肝障害が持続するため、当科紹介された。	腎障害が持続するため、当科紹介された。	neutral
肝障害が持続するため、当科紹介された。	肝障害が持続するため、当科に紹介された。	entailment
肝障害が持続するため、当科紹介された。	肝障害が持続するため、当科から紹介された。	contradiction
